CPT_CODE,DESCRIPTION,NON_FACILITY_PRICE,FACILITY_PRICE,SOURCE
01829,Anesth dx wrist arthroscopy,0.0,0.0,master_cleaned
01830,Anesth lower arm surgery,0.0,0.0,master_cleaned
01832,Anesth wrist replacement,0.0,0.0,master_cleaned
01840,Anesth lwr arm artery surg,0.0,0.0,master_cleaned
01842,Anesth lwr arm embolectomy,0.0,0.0,master_cleaned
01844,Anesth vascular shunt surg,0.0,0.0,master_cleaned
0184T,Exc rectal tumor endoscopic,0.0,0.0,cms_pfs
01850,Anesth lower arm vein surg,0.0,0.0,master_cleaned
01852,Anesth lwr arm vein repair,0.0,0.0,master_cleaned
01860,Anesth lower arm casting,0.0,0.0,master_cleaned
01916,Anesth dx arteriography,0.0,0.0,master_cleaned
0191T,Insert ant segment drain int,0.0,0.0,master
01920,Anesth catheterize heart,0.0,0.0,master_cleaned
01922,Anesth cat or mri scan,0.0,0.0,master_cleaned
01924,Anes ther interven rad artrl,0.0,0.0,master_cleaned
01925,Anes ther interven rad card,0.0,0.0,master_cleaned
01926,Anes tx interv rad hrt/cran,0.0,0.0,master_cleaned
01930,Anes ther interven rad vein,0.0,0.0,master_cleaned
01931,Anes ther interven rad tips,0.0,0.0,master_cleaned
01932,Anes tx interv rad th vein,0.0,0.0,master_cleaned
01933,Anes tx interv rad cran vein,0.0,0.0,master_cleaned
01935,Anesth perc img dx sp proc,0.0,0.0,master_cleaned
01936,Anesth perc img tx sp proc,0.0,0.0,master_cleaned
01937,Anes drg/aspir crv/thrc,0.0,0.0,master_cleaned
01938,Anes drg/aspir lmbr/sac,0.0,0.0,master_cleaned
01939,Anes nulyt agt crv/thrc,0.0,0.0,master_cleaned
01940,Anes nulyt agt lmbr/sac,0.0,0.0,master_cleaned
01941,Anes neuromd/ntrvrt crv/thrc,0.0,0.0,master_cleaned
01942,Anes neuromd/ntrvrt lmbr/sac,0.0,0.0,master_cleaned
01951,Anes 2&3 burn less 4% tbsa,0.0,0.0,master_cleaned
01952,Anes 2&3 burn 4-9% tbsa,0.0,0.0,master_cleaned
01953,Anes 2&3 burn ea add 9% tbsa,0.0,0.0,master_cleaned
01958,Anes xtrnl cephalic version,0.0,0.0,master_cleaned
01960,Anes vaginal delivery only,0.0,0.0,master_cleaned
01961,Anes cesarean delivery only,0.0,0.0,master_cleaned
01962,Anes urgent hysterectomy,0.0,0.0,master_cleaned
01963,Anes cesarean hysterectomy,0.0,0.0,master_cleaned
01965,Anes incompl/missed ab px,0.0,0.0,master_cleaned
01966,Anes induced abortion px,0.0,0.0,master_cleaned
01967,Neuraxl lbr anes vag dlvr,0.0,0.0,master_cleaned
01968,Anes/analg cs dlvr neuraxial,0.0,0.0,master_cleaned
01969,Anes c hyst flwg neuraxial,0.0,0.0,master_cleaned
0198T,Ocular blood flow measure,0.0,0.0,cms_pfs
01990,Support for organ donor,0.0,0.0,master_cleaned
01991,Anesth nerve block/inj,0.0,0.0,master_cleaned
01992,Anesth n block/inj prone,0.0,0.0,master_cleaned
01996,Hosp manage cont drug admin,0.0,0.0,master_cleaned
01999,Unlisted anes procedure,0.0,0.0,master_cleaned
0200T,Perq sacral augmt unilat inj,0.0,0.0,cms_pfs
0201T,Perq sacral augmt bilat inj,0.0,0.0,cms_pfs
0202T,Post vert arthrplst 1 lumbar,0.0,0.0,cms_pfs
0207T,Clear eyelid gland w/heat,0.0,0.0,cms_pfs
0208T,Audiometry air only,0.0,99.84,cms_pfs
0209T,Audiometry air & bone,0.0,99.84,cms_pfs
0210T,Speech audiometry threshold,0.0,99.84,cms_pfs
0211T,Speech audiom thresh & recog,0.0,99.84,cms_pfs
0212T,Compre audiometry evaluation,0.0,99.84,cms_pfs
0213T,Njx paravert w/us cer/thor,0.0,0.0,cms_pfs
0214T,Njx paravert w/us cer/thor,0.0,0.0,cms_pfs
0215T,Njx paravert w/us cer/thor,0.0,0.0,cms_pfs
0216T,Njx paravert w/us lumb/sac,0.0,0.0,cms_pfs
0217T,Njx paravert w/us lumb/sac,0.0,0.0,cms_pfs
0218T,Njx paravert w/us lumb/sac,0.0,0.0,cms_pfs
0219T,Plmt post facet implt cerv,0.0,0.0,cms_pfs
0220T,Plmt post facet implt thor,0.0,0.0,cms_pfs
0221T,Plmt post facet implt lumb,0.0,0.0,cms_pfs
0222T,Plmt post facet implt addl,0.0,0.0,cms_pfs
0228T,Njx tfrml eprl w/us cer/thor,0.0,0.0,master
0229T,Njx tfrml eprl w/us cer/thor,0.0,0.0,master
0230T,Njx tfrml eprl w/us lumb/sac,0.0,0.0,master
0231T,Njx tfrml eprl w/us lumb/sac,0.0,0.0,master
0232T,Njx platelet plasma,0.0,0.0,cms_pfs
0234T,Trluml perip athrc renal art,0.0,0.0,cms_pfs
0235T,Trluml perip athrc visceral,0.0,0.0,cms_pfs
0236T,Trluml perip athrc abd aorta,0.0,0.0,cms_pfs
0237T,Trluml perip athrc brchiocph,0.0,0.0,cms_pfs
0238T,Trluml perip athrc iliac art,0.0,0.0,cms_pfs
0253T,Insert aqueous drain device,0.0,0.0,cms_pfs
0263T,Im b1 mrw cel ther cmpl,0.0,0.0,cms_pfs
0264T,Im b1 mrw cel ther xcl hrvst,0.0,0.0,cms_pfs
0265T,Im b1 mrw cel ther hrvst onl,0.0,0.0,cms_pfs
0266T,Implt/rpl crtd sns dev total,0.0,0.0,master
0267T,Implt/rpl crtd sns dev lead,0.0,0.0,master
0268T,Implt/rpl crtd sns dev gen,0.0,0.0,master
0269T,Rev/remvl crtd sns dev total,0.0,0.0,master
0270T,Rev/remvl crtd sns dev lead,0.0,0.0,master
0271T,Rev/remvl crtd sns dev gen,0.0,0.0,master
0272T,Interrogate crtd sns dev,0.0,0.0,master
0273T,Interrogate crtd sns w/pgrmg,0.0,0.0,master
0274T,Prq lamot/lam dcmpr crv/thrc,0.0,0.0,cms_pfs
0275T,Perq lamot/lam lumbar,0.0,0.0,master
0278T,Tempr,0.0,0.0,cms_pfs
