cpt_code,description,NON_FACILITY_PRICE,FACILITY_PRICE
01931,Anes ther interven rad tips,0.0,299.52
01932,Anes tx interv rad th vein,0.0,299.52
01933,Anes tx interv rad cran vein,0.0,299.52
01935,Anesth perc img dx sp proc,0.0,299.52
01936,Anesth perc img tx sp proc,0.0,299.52
01937,Anes drg/aspir crv/thrc,0.0,299.52
01938,Anes drg/aspir lmbr/sac,0.0,299.52
01939,Anes nulyt agt crv/thrc,0.0,299.52
01940,Anes nulyt agt lmbr/sac,0.0,299.52
01941,Anes neuromd/ntrvrt crv/thrc,0.0,299.52
01942,Anes neuromd/ntrvrt lmbr/sac,0.0,299.52
01951,Anes 2&3 burn less 4% tbsa,0.0,299.52
01952,Anes 2&3 burn 4-9% tbsa,0.0,299.52
01953,Anes 2&3 burn ea add 9% tbsa,0.0,299.52
01958,Anes xtrnl cephalic version,0.0,299.52
01960,Anes vaginal delivery only,0.0,299.52
01961,Anes cesarean delivery only,0.0,299.52
01962,Anes urgent hysterectomy,0.0,299.52
01963,Anes cesarean hysterectomy,0.0,299.52
01965,Anes incompl/missed ab px,0.0,299.52
01966,Anes induced abortion px,0.0,299.52
01967,Neuraxl lbr anes vag dlvr,0.0,299.52
01968,Anes/analg cs dlvr neuraxial,0.0,299.52
01969,Anes c hyst flwg neuraxial,0.0,299.52
0198T,Ocular blood flow measure,0.0,0.0
01990,Support for organ donor,0.0,299.52
01991,Anesth nerve block/inj,0.0,299.52
01992,Anesth n block/inj prone,0.0,299.52
01996,Hosp manage cont drug admin,0.0,299.52
01999,Unlisted anes procedure,0.0,299.52
0200T,Perq sacral augmt unilat inj,0.0,0.0
0201T,Perq sacral augmt bilat inj,0.0,0.0
0202T,Post vert arthrplst 1 lumbar,0.0,0.0
0207T,Clear eyelid gland w/heat,0.0,0.0
0208T,Audiometry air only,0.0,99.84
0209T,Audiometry air & bone,0.0,99.84
0210T,Speech audiometry threshold,0.0,99.84
0211T,Speech audiom thresh & recog,0.0,99.84
0212T,Compre audiometry evaluation,0.0,99.84
0213T,Njx paravert w/us cer/thor,0.0,0.0
0214T,Njx paravert w/us cer/thor,0.0,0.0
0215T,Njx paravert w/us cer/thor,0.0,0.0
0216T,Njx paravert w/us lumb/sac,0.0,0.0
0217T,Njx paravert w/us lumb/sac,0.0,0.0
0218T,Njx paravert w/us lumb/sac,0.0,0.0
0219T,Plmt post facet implt cerv,0.0,0.0
0220T,Plmt post facet implt thor,0.0,0.0
0221T,Plmt post facet implt lumb,0.0,0.0
0222T,Plmt post facet implt addl,0.0,0.0
0228T,Njx tfrml eprl w/us cer/thor,0.0,0.0
0229T,Njx tfrml eprl w/us cer/thor,0.0,0.0
0230T,Njx tfrml eprl w/us lumb/sac,0.0,0.0
0231T,Njx tfrml eprl w/us lumb/sac,0.0,0.0
0232T,Njx platelet plasma,0.0,0.0
0234T,Trluml perip athrc renal art,0.0,0.0
0235T,Trluml perip athrc visceral,0.0,0.0
0236T,Trluml perip athrc abd aorta,0.0,0.0
0237T,Trluml perip athrc brchiocph,0.0,0.0
0238T,Trluml perip athrc iliac art,0.0,0.0
0253T,Insert aqueous drain device,0.0,0.0
0263T,Im b1 mrw cel ther cmpl,0.0,0.0
0264T,Im b1 mrw cel ther xcl hrvst,0.0,0.0
0265T,Im b1 mrw cel ther hrvst onl,0.0,0.0
0266T,Implt/rpl crtd sns dev total,0.0,0.0
0267T,Implt/rpl crtd sns dev lead,0.0,0.0
0268T,Implt/rpl crtd sns dev gen,0.0,0.0
0269T,Rev/remvl crtd sns dev total,0.0,0.0
0270T,Rev/remvl crtd sns dev lead,0.0,0.0
0271T,Rev/remvl crtd sns dev gen,0.0,0.0
0272T,Interrogate crtd sns dev,0.0,0.0
0273T,Interrogate crtd sns w/pgrmg,0.0,0.0
0274T,Perq lamot/lam crv/thrc,0.0,0.0
0275T,Perq lamot/lam lumbar,0.0,0.0
0278T,Tempr,0.0,0.0
0290T,Laser inc for pkp/lkp recip,0.0,0.0
0295T,Ext ecg complete,0.0,0.0
0296T,Ext ecg recording,0.0,0.0
0297T,Ext ecg scan w/report,0.0,0.0
0298T,Ext ecg review and interp,0.0,0.0
0308T,Insj ocular telescope prosth,0.0,0.0
0312T,Laps impltj nstim vagus,0.0,0.0
0313T,Laps rmvl nstim array vagus,0.0,0.0
0314T,Laps rmvl vgl arry&pls gen,0.0,0.0
0315T,Rmvl vagus nerve pls gen,0.0,0.0
0316T,Replc vagus nerve pls gen,0.0,0.0
0317T,Elec alys vagus nrv pls gen,0.0,0.0
0329T,Mntr io press 24hrs/> uni/bi,0.0,299.52
0330T,Tear film img uni/bi w/i&r,0.0,299.52
0331T,Heart symp image plnr,0.0,299.52
0332T,Heart symp image plnr spect,0.0,299.52
0333T,Visual ep scr acuity auto,0.0,299.52
0335T,Insj sinus tarsi implant,0.0,299.52
0338T,Trnscth renal symp denrv unl,0.0,299.52
